Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
INDIANA MEDICAL SCIENTIST/ENGINEER TRAINING PROGRAM,NIGMS,9304382,3T32GM077229-09S1,3,T32,GM,77229,9,S1,,1922911,"MIRMIRA, RAGHAVENDRA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,59156,
INDIANA MEDICAL SCIENTIST/ENGINEER TRAINING PROGRAM,NIGMS,9096193,4T32GM077229-09,4,T32,GM,77229,9,,,1922911,"MIRMIRA, RAGHAVENDRA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,397771,
GENETIC RISKS FOR CARDIOVASCULAR EVENTS IN ESRD PATIENTS FROM THE EVOLVE STUDY.,NIDDK,9114107,5R01DK100306-03,5,R01,DK,100306,3,,,1901988,"MOE, SHARON M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,341829,
PATHOGENESIS OF COMPROMISED BONE QUALITY AND MECHANICS IN CHRONIC KIDNEY DISEASE.,NIDDK,9155921,1R01DK110871-01,1,R01,DK,110871,1,,,1901988,"MOE, SHARON M ","ALLEN, MATTHEW R;NICKOLAS, THOMAS L.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,471810,
IND 117464 USE OF LOW DOSE PIOGLITAZONE TO TREAT AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,FDA,9102908,5R01FD004826-02,5,R01,FD,4826,2,,,1901988,"MOE, SHARON M ","BLAZER-YOST, BONNIE L.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,198120,
CENTER FOR ADVANCED RENAL MICROSCOPIC ANALYSIS,NIDDK,9315426,3P30DK079312-10S1,3,P30,DK,79312,10,S1,,8236080,"MOLITORIS, BRUCE A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,28899,
CENTER FOR ADVANCED RENAL MICROSCOPIC ANALYSIS,NIDDK,9116628,4P30DK079312-10,4,P30,DK,79312,10,,,8236080,"MOLITORIS, BRUCE A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1146019,
CONTINUATION OF CHILDREN; THE CHILDHOOD LIVER DISEASE RESEARCH NETWORK: INDIANA U,NIDDK,9129653,5U01DK084536-08,5,U01,DK,84536,8,,,9660575,"MOLLESTON, JEAN PAPPAS",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,377634,
LONGITUDINAL ASSESSMENT OF SKELETAL MUSCLE PHYSIOLOGY IN DIALYSIS PATIENTS,NIDDK,9118985,5K23DK102824-02,5,K23,DK,102824,2,,,11218904,"MOORTHI, RANJANI N.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,171304,
FUNCTION AND REGULATION OF ISLET-ASSOCIATED MACROPHAGES IN OBESITY AND DIABETES,NIDDK,9088424,4K01DK100515-04,4,K01,DK,100515,4,,,8140040,"MORRIS, DAVID L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,109048,
TELEPHONE SYMPTOM MANAGEMENT FOR ADVANCED LUNG CANCER PATIENTS AND CAREGIVERS,NCI,9122390,4K07CA168883-04,4,K07,CA,168883,4,,,8823158,"MOSHER, CATHERINE E",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,136445,
REGULATION OF RNA POLYMERASE II TRANSCRIPTION BY THE PHOSPHATASE RTR1,NIGMS,9114602,4R01GM099714-05,4,R01,GM,99714,5,,,7012469,"MOSLEY, AMBER LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,350781,
REGULATION OF RNA POLYMERASE II TRANSCRIPTION BY THE PHOSPHATASE RTR1,NIGMS,9148295,3R01GM099714-04S1,3,R01,GM,99714,4,S1,,7012469,"MOSLEY, AMBER LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,34710,
UTILITY OF AUTOLOGOUS AND ALLOGENEIC CELL THERAPY FOR PERIPHERAL ARTERIAL DISEASE,NHLBI,9039127,4UM1HL113457-05,4,UM1,HL,113457,5,,,9241491,"MURPHY, MICHAEL PATRICK ","MARCH, KEITH LEONARD",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,514474,
A CLINICAL AND HISTOLOGICAL ANALYSIS OF MESENCHYMAL STEM CELLS IN AMPUTATION,NHLBI,9102599,1R01HL128827-01A1,1,R01,HL,128827,1,A1,,9241491,"MURPHY, MICHAEL PATRICK",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,517800,
QUANTITATIVE IMAGING AT SUBCELLULAR LEVELS IN CHONDROCYTE MECHANOTRANSDUCTION,NIAMS,9065505,5R03AR065149-03,5,R03,AR,65149,3,,,10431771,"NA, SUNGSOO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
TYROSINE KINASE SIGNALING FOR CARTILAGE MAINTENANCE AND OSTEOARTHRITIS,NIAMS,9035479,1R21AR067918-01A1,1,R21,AR,67918,1,A1,,10431771,"NA, SUNGSOO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,171600,
TARGETING PRL2 PHOSPHATASE IN ACUTE MYELOID LEUKEMIA,NCI,9050480,1F32CA203049-01,1,F32,CA,203049,1,,,9145400,"NABINGER, SARAH C.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,61137,
ESTROGEN-ESTROGEN RECEPTOR AXIS IN NON-TRANSFORMED BREAST EPITHELIAL CELLS: STUDIES BEYOND MCF-7,NCI,9024970,1R03CA195250-01A1,1,R03,CA,195250,1,A1,,1868604,"NAKSHATRI, HARIKRISHNA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
MITOTIC FAILURE IN FANCONI ANEMIA: MECHANISMS AND ROLE IN CARCINOGENESIS,NHLBI,9324448,1R56HL132921-01,1,R56,HL,132921,1,,,11587572,"NALEPA, GRZEGORZ ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
GENETIC ANALYSIS OF MECHANISMS OF CHLAMYDIAL IMMUNE EVASION,NIAID,8997423,4R01AI099278-05,4,R01,AI,99278,5,,,9085771,"NELSON, DAVID EMMET",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,455336,
THE ROLE OF THE URETHRAL MICROBIOME IN IDIOPATHIC URETHRITIS IN MEN,NIAID,9029710,1R01AI116706-01A1,1,R01,AI,116706,1,A1,,9085771,"NELSON, DAVID EMMET ","BATTEIGER, BYRON EDWARD",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,739341,
ASSESSING AND MODIFYING BONE QUALITY IN CHRONIC KIDNEY DISEASE,NIDDK,9137684,4F30DK100093-04,4,F30,DK,100093,4,,,11631492,"NEWMAN, CHRIS ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,40501,
MECHANISMS AND CROSSTALK OF DNA BREAK RESECTION PATHWAYS,NIEHS,8989533,5R00ES021441-04,5,R00,ES,21441,4,,,10196245,"NIU, HENGYAO ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,248999,
NEW CHROMATOGRAPHIC TECHNOLOGIES FOR RESOLVING CARBOHYDRATE ISOMERS,NIGMS,9123622,5R21GM118340-02,5,R21,GM,118340,2,,,1863380,"NOVOTNY, MILOS ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,265234,
WORLD CONGRESS OF PSYCHIATRIC GENETICS,NIAAA,9098562,4R13AA017055-09,4,R13,AA,17055,9,,,7702001,"NURNBERGER, JOHN I",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,30441,
TOXIN-ASSOCIATED OXIDATIVE DNA DAMAGE INITIATES TUMOR-SPECIFIC EPIGENETIC CHANGES,NIEHS,9068103,5R01ES023183-05,5,R01,ES,23183,5,,,10366332,"O'HAGAN, HEATHER M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
COMP B-SB PATIENT REGISTRY PROJECT AT RILEY HOSPITAL FOR CHILDREN,NCBDD,9116714,5U01DD001057-03,5,U01,DD,1057,3,,,9929334,"O'NEIL, JOSEPH ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,66440,
NEURAL BASES OF ALCOHOL-RELATED DECISION-MAKING,NIAAA,9097515,5K99AA023296-02,5,K99,AA,23296,2,,,8557375,"OBERLIN, BRANDON G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,122370,
TRPC CHANNELS IN THE METABOLIC SYNDROME,NHLBI,9066774,4R01HL115140-05,4,R01,HL,115140,5,,,8243348,"OBUKHOV, ALEXANDER G.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,533147,
UNPLANNED EARLY READMISSIONS OF HOSPITALIZED PATIENTS WITH CIRRHOSIS,NIDDK,9242738,1K23DK109202-01A1,1,K23,DK,109202,1,A1,,10947831,"ORMAN, ERIC ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,181179,
AGE-RELATED DIFFERENCES IN RESPONSE TO RADIATION AND MEDICAL COUNTERMEASURES,NIAID,9203459,1UH2AI128894-01,1,UH2,AI,128894,1,,,2084718,"ORSCHELL, CHRISTIE M ","PELUS, LOUIS M",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,52081,
TRANSLATING NOVEL DRUG-TARGETABLE BIOMARKERS TO TREAT GRAFT VERSUS HOST DISEASE,NCI,9063104,4R01CA168814-04,4,R01,CA,168814,4,,,8911469,"PACZESNY, SOPHIE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,324148,
BRIDGING PEDIATRIC AND ADULT BIOMARKERS OF GRAFT-VERSUS-HOST-DISEASE,NICHD,9062876,4R01HD074587-04,4,R01,HD,74587,4,,,8911469,"PACZESNY, SOPHIE  ","RENBARGER, JAMIE L",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,505765,
A MEGAKARYOCYTE/PGE2/OSTEOBLAST TRIAD IN THE NORMAL AND AGED NICHE,NIA,9237562,3R01AG046246-04S1,3,R01,AG,46246,4,S1,,2060962,"PELUS, LOUIS M ","KACENA, MELISSA A",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,100000,
A MEGAKARYOCYTE/PGE2/OSTEOBLAST TRIAD IN THE NORMAL AND AGED NICHE,NIA,9063505,4R01AG046246-04,4,R01,AG,46246,4,,,2060962,"PELUS, LOUIS M ","KACENA, MELISSA A",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,195000,
ROLE OF PGE2 AND OTHER EICOSANOIDS IN HEMATOPOIETIC STEM CELL FUNCTION,NHLBI,9118323,5R01HL096305-07,5,R01,HL,96305,7,,,2060962,"PELUS, LOUIS M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390319,
DOCTOR SHOPPING FOR CONTROLLED SUBSTANCES: INSIGHTS FROM TWO-MODE SOCIAL NETWORK ANALYSIS,NIDA,9174102,1R01DA039928-01A1,1,R01,DA,39928,1,A1,,9833109,"PERRY, BREA LOUISE",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,519414,
OSTEOCYTE APOPTOSIS AND REGULATION OF BONE RESORPTION WITH AGING,NIAMS,9012771,5R01AR067210-02,5,R01,AR,67210,2,,,2213604,"PLOTKIN, LILIAN IRENE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,343200,
SUGAR BUILDING BLOCKS AND AUTOMATED SYNTHESIS OF BIOMEDICALLY-RELEVANT GLYCANS,NIGMS,9347029,3U01GM116248-02S1,3,U01,GM,116248,2,S1,,1971856,"POHL, NICOLA L",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,181973,
SUGAR BUILDING BLOCKS AND AUTOMATED SYNTHESIS OF BIOMEDICALLY-RELEVANT GLYCANS,NIGMS,9119041,5U01GM116248-02,5,U01,GM,116248,2,,,1971856,"POHL, NICOLA L",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,538302,
COGNITIVE INTERVENTION TO IMPROVE MEMORY IN HEART FAILURE PATIENTS,NINR,9174226,1R01NR016116-01A1,1,R01,NR,16116,1,A1,,1897017,"PRESSLER, SUSAN J ","GIORDANI, BRUNO ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,545394,
PHARMACOEPIDEMIOLOGIC STUDIES OF PRESCRIPTION OPIOID ANALGESIC RISKS,NIDA,9013526,1K99DA040727-01,1,K99,DA,40727,1,,,10138611,"QUINN, PATRICK DONOVAN",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,136783,
INTEGRATED BIOINFORMATIC AND PHARMACOKINETIC MODELS OF HIGH-DIMENSIONAL DRUG INTERACTIONS,NIGMS,9008147,1R01GM117206-01,1,R01,GM,117206,1,,,10398124,"QUINNEY, SARA K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,367300,
INDIVIDUALIZATION OF NIFEDIPINE DOSING FOR PRETERM LABOR,NICHD,9090125,4K23HD071134-05,4,K23,HD,71134,5,,,10398124,"QUINNEY, SARA K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,125841,
EARLY DETECTION OF GLAUCOMA PROGRESSION USING A NOVEL INDIVIDUALIZED APPROACH,NEI,9102519,1R01EY025756-01A1,1,R01,EY,25756,1,A1,,8734993,"RACETTE, LYNE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390313,
MECHANISMS AND EVOLUTION OF BACTERIAL MORPHOLOGY,NIGMS,9132315,5F32GM112362-03,5,F32,GM,112362,3,,,9265357,"RANDICH, AMELIA M",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,56118,
INDIANA UNIVERSITY: TRAINING IN BEHAVIORAL NURSING,NINR,9087040,4T32NR007066-25,4,T32,NR,7066,25,,,3151835,"RAWL, SUSAN M",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,314712,
INTEGRATIVE PREDOCTORAL TRAINING IN DRUG AB USE RESEARCH AT INDIANA UNIVERSITY,NIDA,9103042,5T32DA024628-07,5,T32,DA,24628,7,,,1863825,"REBEC, GEORGE VINCENT",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,170992,
GPR17 FUNCTION IN METABOLISM AND SATIETY CONTROL,NIDDK,9271457,4R00DK098294-03,4,R00,DK,98294,3,,,11350722,"REN, HONGXIA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,249000,
PHARMACOGENETIC DETERMINANTS OF VINCRISTINE TOXICITY AND RESPONSE,NICHD,8984170,4R01HD062484-06,4,R01,HD,62484,6,,,7568327,"RENBARGER, JAMIE L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,614577,
POSTDOCTORAL RESEARCH TRAINING IN PEDIATRIC CLINICAL AND DEVELOPMENTAL PHARMACOLOGY,NICHD,9114353,2T32HD069047-06,2,T32,HD,69047,6,,,7568327,"RENBARGER, JAMIE L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,213829,
INDIANA UNIVERSITY CENTER FOR PEDIATRIC PHARMACOLOGY AND PRECISION MEDICINE,NICHD,9228818,1U54HD090215-01,1,U54,HD,90215,1,,,7568327,"RENBARGER, JAMIE L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,823069,
THE ROLE OF SHP2 PHOSPHATASE ACTIVITY IN FLT3-ITD+ ACUTE MYELOID LEUKEMIA,NCI,9112779,5F31CA183342-02,5,F31,CA,183342,2,,,11742038,"RICHINE, BRIANA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,14222,
SENSORY AND PERCEPTUAL MEASURES AS BIOMARKERS OF ALZHEIMER'S DISEASE PATHOLOGY,NIA,9120728,5K01AG049050-02,5,K01,AG,49050,2,,,10767647,"RISACHER, SHANNON L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,122343,
SMALL MOLECULE INHIBITION OF GLYCOGEN STORAGE AS THERAPY FOR GLYCOGENOSES,NIDDK,9176124,2R01DK027221-37A1,2,R01,DK,27221,37,A1,,1888145,"ROACH, PETER J ","HURLEY, THOMAS D.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,324516,
RESEARCH TRAINING PROGRAM IN DIABETES AND OBESITY,NIDDK,9306251,3T32DK064466-14S2,3,T32,DK,64466,14,S2,,1888145,"ROACH, PETER J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,34102,
RESEARCH TRAINING PROGRAM IN DIABETES AND OBESITY,NIDDK,9306250,3T32DK064466-14S1,3,T32,DK,64466,14,S1,,1888145,"ROACH, PETER J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,59778,
RESEARCH TRAINING PROGRAM IN DIABETES AND OBESITY,NIDDK,9098694,4T32DK064466-14,4,T32,DK,64466,14,,,1888145,"ROACH, PETER J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,158771,
GLYCOGEN METABOLISM AND LAFORA DISEASE,NINDS,8990890,5R01NS056454-08,5,R01,NS,56454,8,,,1888145,"ROACH, PETER J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,336762,
MECHANISMS OF ACTIVE MUSIC ENGAGEMENT TO IMPROVE HEALTH OUTCOMES OF CHILDREN WITH CANCER AND PARENTS,NINR,9105049,1R01NR015789-01A1,1,R01,NR,15789,1,A1,,9638137,"ROBB, SHERI LYNN",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,492400,
NUPR1 IS A NOVEL TARGET IN BONE METABOLISM,NIAMS,9035486,1R21AR068472-01A1,1,R21,AR,68472,1,A1,,6137583,"ROBLING, ALEXANDER G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,205920,
BIOLOGICAL BASIS OF CONDITIONED CUES EFFECTS ON ETOH-SEEKING,NIAAA,9120296,4R01AA020908-05,4,R01,AA,20908,5,,,7027983,"RODD, ZACHARY AARON",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,312000,
7/8 NADIA UO1 ADOLESCENT ALCOHOL AND NEUROCIRCUITRY MEDIATING ETHANOL REINFORCEMENT,NIAAA,9133249,5U01AA024612-02,5,U01,AA,24612,2,,,7027983,"RODD, ZACHARY AARON",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,315900,
MVNP; P62P392L AND IL-6 IN THE PATHOGENESIS OF PD,NIAMS,9042242,5R01AR057308-09,5,R01,AR,57308,9,,,1877766,"ROODMAN, GARSON DAVID",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,380305,
ADOLESCENT ALCOHOL ABUSE: A TWIN-STUDY PERSPECTIVE,NIAAA,9061502,4R01AA012502-14,4,R01,AA,12502,14,,,1891786,"ROSE, RICHARD JOSEPH",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,246642,
BURNOUT REDUCTION FOR MH PROVIDERS TO IMPROVE QOC AND REDUCE STAFF TURNOVER,NIMH,9119624,5R34MH104201-03,5,R34,MH,104201,3,,,3121092,"SALYERS, MICHELLE P.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,221393,
BURNOUT REDUCTION FOR MH PROVIDERS TO IMPROVE QOC AND REDUCE STAFF TURNOVER,NIMH,9129839,3R34MH104201-02S1,3,R34,MH,104201,2,S1,,3121092,"SALYERS, MICHELLE P.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,24681,
CAMKK2 INHIBITION AS A DUAL-ACTION BONE ANABOLIC AND ANTI-CATABOLIC THERAPY IN OSTEOPOROSIS,NIAMS,9146157,5R01AR068332-02,5,R01,AR,68332,2,,,9235842,"SANKAR, UMA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,450823,
CAMKK2 INHIBITION AS A DUAL-ACTION BONE ANABOLIC AND ANTI-CATABOLIC THERAPY IN OSTEOPOROSIS,NIAMS,9211648,3R01AR068332-01A1S1,3,R01,AR,68332,1,A1S1,,9235842,"SANKAR, UMA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,16218,
INDIANA ALZHEIMER DISEASE CENTER,NIA,9172460,2P30AG010133-26,2,P30,AG,10133,26,,,1959346,"SAYKIN, ANDREW J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,2100491,
CIS-REGULATORY ELEMENT DISCOVERY IN A SEQUENCED MOSQUITO GENOME,NIAID,8995192,5R21AI117145-02,5,R21,AI,117145,2,,,1885330,"SCHEEL, MOLLY DUMAN",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,195000,
IDENTIFYING THE MECHANISMS OF CHANGE IN MEASUREMENT BASED CARE FOR DEPRESSION,NIMH,9191503,1F31MH111134-01,1,F31,MH,111134,1,,,14094163,"SCOTT, KELLI ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,39556,
LTB4 AND THE CONTROL OF METHICILIN RESISTANT STAPHYLOCOCCUS AUREUS INFECTION,NIAID,8965500,5R03AI110990-02,5,R03,AI,110990,2,,,10188661,"SEREZANI, CARLOS ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
EXPLORING THE CONTRIBUTION OF A NUCLEOTIDE RECEPTOR TO ATHEROSCLEROSIS,NHLBI,9041658,4R01HL112883-04,4,R01,HL,112883,4,,,7943520,"SEYE, CHEIKH IBRA",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
PREFRONTAL CIRCUITRY AND PAIN,NINDS,9148088,5R01NS094389-02,5,R01,NS,94389,2,,,8503004,"SHEETS, PATRICK L",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,337717,
NEUROBIOLOGY OF ANXIETY AND PANIC DISORDERS,NIMH,9052217,4R01MH052619-18,4,R01,MH,52619,18,,,1879793,"SHEKHAR, ANANTHA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,389835,
INDIANA CLINICAL AND TRANSLATIONAL SCIENCES INSTITUTE,NCATS,9070041,4KL2TR001106-04,4,KL2,TR,1106,4,,,1879793,"SHEKHAR, ANANTHA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,691040,
INDIANA CLINICAL AND TRANSLATIONAL SCIENCES INSTITUTE,NCATS,9070042,4TL1TR001107-04,4,TL1,TR,1107,4,,,1879793,"SHEKHAR, ANANTHA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,442932,
INDIANA CLINICAL AND TRANSLATIONAL SCIENCES INSTITUTE,NCATS,9267812,3UL1TR001108-04S1,3,UL1,TR,1108,4,S1,,1879793,"SHEKHAR, ANANTHA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,549465,
INDIANA CLINICAL AND TRANSLATIONAL SCIENCES INSTITUTE,NCATS,9136888,4UL1TR001108-04,4,UL1,TR,1108,4,,,1879793,"SHEKHAR, ANANTHA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,4893305,
INTEGRATIVE BIOINFORMATICS APPROACHES TO HUMAN BRAIN GENOMICS AND CONNECTOMICS,NIBIB,9155025,1R01EB022574-01,1,R01,EB,22574,1,,,8667006,"SHEN, LI ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,500696,
BETA CELL DERIVED MIR-21 AS AN INTRINSIC PROTECTIVE RESPONSE AND BIOMARKER IN TYPE 1 DIABETES,NIDDK,9120863,5K08DK103983-03,5,K08,DK,103983,3,,,11170917,"SIMS, EMILY K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,147557,
REGULATION OF DRUG METABOLIZING ENZYMES BY MIRNAS,NIGMS,9084600,5R01GM088076-07,5,R01,GM,88076,7,,,8428837,"SKAAR, TODD C.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,484156,
EMBEDDING PHARMACOGENOTYPING IN AN INTEGRATED HEALTH SYSTEM FOR THE UNDERSERVED,NHGRI,9096178,5U01HG007762-03,5,U01,HG,7762,3,,,8428837,"SKAAR, TODD C. ","DEXTER, PAUL ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1050414,
TRAINING PROGRAM IN INTEGRATIVE DEVELOPMENTAL PROCESS,NICHD,9061750,5T32HD007475-22,5,T32,HD,7475,22,,,1896327,"SMITH, LINDA B.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,203683,
THE SHAPE BIAS IN EARLY WORD LEARNING,NICHD,8984167,4R01HD028675-21,4,R01,HD,28675,21,,,1896327,"SMITH, LINDA B.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,253083,
ASYMMETRIC CHEMICAL SYNTHESIS METHODS VIA COOPERATIVE CATALYSIS,NIGMS,9218120,1R01GM121573-01,1,R01,GM,121573,1,,,14257816,"SNADDON, THOMAS NEIL",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,293931,
EUNICE KENNEDY SHRIVER NICHD COOPERATIVE MULTICENTER NEONATAL RESEARCH NETWORK,NICHD,9073836,2UG1HD027856-26,2,UG1,HD,27856,26,,,8661948,"SOKOL, GREGORY M.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,7800,
LIN-28 AND THE TRANSLATIONAL CONTROL OF STEM CELL METABOLISM,OD,9041045,5R21OD019916-02,5,R21,OD,19916,2,,,9463686,"SOKOL, NICHOLAS ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,185459,
RACIAL/ETHNIC DIFFERENCES IN 25(OH)D AND PTH LEVELS AND CVD AMONG WOMEN,NHLBI,9050516,5R01HL113056-04,5,R01,HL,113056,4,,,8753156,"SONG, YIQING ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,648321,
MECHANISMS OF PHOTOCARCINOGENESIS IN GERIATRIC SKIN,NIEHS,9064190,4R01ES020866-05,4,R01,ES,20866,5,,,1969393,"SPANDAU, DAN F ","TRAVERS, JEFFREY B.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,351000,
